sample	samples	NTN1	NTN3	NTN4	NTN5	NTNG1	NTNG2	DSCAM	DCC	UNC5A	UNC5B	UNC5C	UNC5D	cancer type abbreviation	sample_type
TCGA-LN-A9FP-01	TCGA-LN-A9FP-01	13.11	1.21	10.39	3.28	5.19	5.51	1.05	1.51	2.69	8.64	4.91	5.65	ESCA	Primary Tumor
TCGA-56-8082-01	TCGA-56-8082-01	13.06	2.58	9.46	2.47	5.42	3.7	0.5	2.24	1.16	9.68	3.21	0	LUSC	Primary Tumor
TCGA-KL-8337-01	TCGA-KL-8337-01	13.06	2.26	11.96	6.15	0	1.87	2.74	0	1.87	9.1	2.37	2.82	KICH	Primary Tumor
TCGA-Q1-A73R-01	TCGA-Q1-A73R-01	13	3.89	7.6	3.35	0.62	6	0	2.74	1.06	11.39	2.26	1.66	CESC	Primary Tumor
TCGA-02-0047-01	TCGA-02-0047-01	12.98	4.96	8.33	3.07	8.09	8.48	9.85	5.94	7.72	11.41	4.09	5.24	GBM	Primary Tumor
TCGA-ZB-A96E-01	TCGA-ZB-A96E-01	12.96	2.33	7.87	5.15	3.31	2.95	0.53	0	1.48	10.53	1.23	1.23	THYM	Primary Tumor
TCGA-96-8169-01	TCGA-96-8169-01	12.95	2.27	10.84	2.83	5.21	4.83	0.47	2.15	2.38	11.03	4.83	0.82	LUSC	Primary Tumor
TCGA-IW-A3M6-01	TCGA-IW-A3M6-01	12.94	0.54	7.79	0.93	3.86	4.22	3.45	0	6.79	11.27	2.21	3.04	SARC	Primary Tumor
TCGA-FX-A3NK-01	TCGA-FX-A3NK-01	12.92	3.93	10.11	4.35	3.39	4.38	6.25	1.53	7.14	12.54	7.31	1.28	SARC	Primary Tumor
TCGA-UT-A88D-01	TCGA-UT-A88D-01	12.92	3.77	8.32	3.08	6.08	5.74	0	2.49	6.11	10.82	4.52	1.11	MESO	Primary Tumor
TCGA-X6-A7WC-01	TCGA-X6-A7WC-01	12.9	1.85	10.34	2.64	8.44	4.49	0	0	5.53	12.22	4.69	0	SARC	Primary Tumor
TCGA-S9-A7R7-01	TCGA-S9-A7R7-01	12.88	3.04	6.76	3.79	7.57	9.17	7.38	4.71	6.75	10.66	4.05	5.8	LGG	Primary Tumor
TCGA-TM-A84C-01	TCGA-TM-A84C-01	12.84	2.79	8.72	2.79	10.27	8.88	10.32	8.16	5.6	12.05	6.77	8.58	LGG	Primary Tumor
TCGA-FP-7735-11	TCGA-FP-7735-11	12.8	2.13	9.77	2.08	4.91	5.31	0.71	0.55	1.71	8.97	4.16	1.74	STAD	Solid Tissue Normal
TCGA-XE-AAOC-01	TCGA-XE-AAOC-01	12.79	3.47	7.91	5.21	7.22	8.56	7.66	8.16	6.69	10.63	4.71	6.92	TGCT	Primary Tumor
TCGA-L5-A4OO-11	TCGA-L5-A4OO-11	12.78	0.08	10.59	2.53	4.29	4.14	2.75	2.17	5.77	9.02	5.13	2.4	ESCA	Solid Tissue Normal
TCGA-MQ-A4KX-01	TCGA-MQ-A4KX-01	12.76	3.04	9.21	2.9	10.19	5.82	1.1	0.46	4.99	10.38	0.81	0.46	MESO	Primary Tumor
TCGA-DX-A3UE-01	TCGA-DX-A3UE-01	12.76	2.92	8.81	1.73	7.49	3.06	0.82	0.47	4.66	9.14	0	0.47	SARC	Primary Tumor
TCGA-HU-A4G3-11	TCGA-HU-A4G3-11	12.75	0.99	10.39	2.63	5.57	3.72	1.78	1.67	1.05	8.42	3.21	2.79	STAD	Solid Tissue Normal
TCGA-UD-AABY-01	TCGA-UD-AABY-01	12.74	3.07	9.93	2.39	6.23	6.62	0	4.28	4.72	12.07	4.8	0	MESO	Primary Tumor
TCGA-HU-A4GH-11	TCGA-HU-A4GH-11	12.72	0.66	11.04	3.14	5.82	5.24	2.84	0.57	2.43	8.41	5.11	2.72	STAD	Solid Tissue Normal
TCGA-HU-A4HB-11	TCGA-HU-A4HB-11	12.71	0	10.12	1.84	5.95	3.99	2.65	2.08	2.28	8.3	4.35	3.15	STAD	Solid Tissue Normal
TCGA-DX-A6BH-01	TCGA-DX-A6BH-01	12.69	2.53	11.48	4.63	9.08	6.68	5.88	1.54	6.19	9.33	5.92	1.28	SARC	Primary Tumor
TCGA-2J-AABT-01	TCGA-2J-AABT-01	12.69	1.81	9.89	2.86	3.09	6.07	2.05	1.17	3.38	10.09	4.87	1.52	PAAD	Primary Tumor
TCGA-K4-A3WV-01	TCGA-K4-A3WV-01	12.69	1.18	6.79	4.3	1.18	3.64	5.54	0	1.64	10.61	1.83	2.7	BLCA	Primary Tumor
TCGA-HT-7854-01	TCGA-HT-7854-01	12.68	4.24	7.38	4.89	7.03	7.41	7.57	5.93	7.22	10.35	6.5	7.84	LGG	Primary Tumor
TCGA-IG-A3I8-01	TCGA-IG-A3I8-01	12.68	3.36	8.48	4.59	8.07	4.15	6.74	1.21	-0.21	11.61	1.59	-0.39	ESCA	Primary Tumor
TCGA-85-8071-01	TCGA-85-8071-01	12.68	1.29	6.88	0.78	1.95	3.03	0	0	0.78	9.07	0.78	0.78	LUSC	Primary Tumor
TCGA-KM-8477-01	TCGA-KM-8477-01	12.67	0	8.78	1.89	1.49	2.68	1.23	0	2.46	9.03	7.52	0	KICH	Primary Tumor
TCGA-LK-A4O7-01	TCGA-LK-A4O7-01	12.65	1.4	8.8	3.73	7.37	4.39	1.79	0.49	4.39	10.94	3.43	0	MESO	Primary Tumor
TCGA-DX-A1KU-01	TCGA-DX-A1KU-01	12.65	1.38	9.1	1.87	6.91	3.73	4.29	0.62	6.1	12.27	8.4	0	SARC	Primary Tumor
TCGA-DX-AB2P-01	TCGA-DX-AB2P-01	12.63	1.27	9.62	3.31	9.41	6	0.56	3.73	5.91	11.86	7.44	2.39	SARC	Primary Tumor
TCGA-DU-8158-01	TCGA-DU-8158-01	12.59	4.43	6.79	4.55	6.19	7.5	10.03	6.87	7.4	10.54	6.14	4.32	LGG	Primary Tumor
TCGA-06-2562-01	TCGA-06-2562-01	12.59	3.25	6.47	1.88	6.79	6.69	7.49	4.1	8.3	10.93	5.47	3.85	GBM	Primary Tumor
TCGA-KN-8426-01	TCGA-KN-8426-01	12.59	2.22	10.04	4.52	2.34	4.62	3.06	0	4.3	9	2.83	3.12	KICH	Primary Tumor
TCGA-FP-7829-11	TCGA-FP-7829-11	12.59	2.14	11.23	3.1	6.29	5.43	1.38	1.48	0.1	8.72	5.29	1.51	STAD	Solid Tissue Normal
TCGA-BR-8380-01	TCGA-BR-8380-01	12.58	1.73	9.36	1.67	3.36	5.56	2.88	1	3.96	9.02	5.1	2.52	STAD	Primary Tumor
TCGA-94-7943-01	TCGA-94-7943-01	12.58	1.22	8.67	2.93	2.66	3.27	0.41	1.73	2.87	10.59	3.32	0.41	LUSC	Primary Tumor
TCGA-DH-A66B-01	TCGA-DH-A66B-01	12.56	3.71	7.52	4.15	4.5	9.43	8.85	2.68	7.86	10.03	2.48	3.57	LGG	Primary Tumor
TCGA-E1-5304-01	TCGA-E1-5304-01	12.56	2.28	11.78	4.56	6.07	6.68	11.66	4.88	7.93	8.06	3.57	2.57	LGG	Primary Tumor
TCGA-FG-5963-02	TCGA-FG-5963-02	12.56	1.25	9.26	2.49	7.08	4.89	10.01	5.36	4.53	10.2	4.47	5.52	LGG	Recurrent Tumor
TCGA-FG-A6J3-01	TCGA-FG-A6J3-01	12.56	0.62	7.4	2.53	5.58	10.61	6.99	1.65	3.99	9.94	3.79	6.02	LGG	Primary Tumor
TCGA-06-0158-01	TCGA-06-0158-01	12.54	2.75	5.33	4.73	6.64	7.87	9.27	5.16	7.34	10.68	4.68	4.04	GBM	Primary Tumor
TCGA-HZ-A77P-01	TCGA-HZ-A77P-01	12.54	1.88	10.24	3.12	4.33	6.43	3.55	2.49	5.35	9.95	3.6	2.49	PAAD	Primary Tumor
TCGA-KN-8419-01	TCGA-KN-8419-01	12.53	0	10.72	1.92	3.86	1.92	2.37	1.26	5.89	10.08	2.91	3.3	KICH	Primary Tumor
TCGA-DX-A6B8-01	TCGA-DX-A6B8-01	12.52	2.03	10.43	0.69	2.72	3.27	0	1.16	5.16	10.6	8.57	0	SARC	Primary Tumor
TCGA-HT-A5RC-01	TCGA-HT-A5RC-01	12.51	3.9	6.94	2.87	6.39	8.35	9.44	7.47	4.71	9.56	6.12	6.84	LGG	Primary Tumor
TCGA-76-4929-01	TCGA-76-4929-01	12.5	4.24	8.07	1.92	5.13	6.7	9.88	2.59	5.99	10.54	2.12	1.92	GBM	Primary Tumor
TCGA-S9-A6UA-01	TCGA-S9-A6UA-01	12.5	3.68	9.04	2.97	6.9	7.77	10.59	6.67	5.87	10.68	6.68	2.5	LGG	Primary Tumor
TCGA-MY-A5BD-01	TCGA-MY-A5BD-01	12.5	1.25	12.19	2.98	0.54	3.97	0.54	0	5.18	9.34	0.94	0	CESC	Primary Tumor
TCGA-HU-A4GN-11	TCGA-HU-A4GN-11	12.5	0.99	9.44	2.87	4.15	4.68	2.81	0.48	1.27	8.37	3.39	2.28	STAD	Solid Tissue Normal
TCGA-CR-6470-01	TCGA-CR-6470-01	12.49	4.17	9.1	2.63	1.08	4.86	0	3.55	4.6	10.76	3.36	0	HNSC	Primary Tumor
TCGA-S9-A6U2-01	TCGA-S9-A6U2-01	12.48	4.95	9.37	3.51	6.59	9.65	11.42	7.78	8.96	9.99	4.17	6.77	LGG	Primary Tumor
TCGA-X7-A8D8-01	TCGA-X7-A8D8-01	12.48	3.07	10.52	5.01	4.94	3.83	0	0.47	1.12	10.87	6.42	2.93	THYM	Primary Tumor
TCGA-FG-A87N-01	TCGA-FG-A87N-01	12.47	4.61	10.68	0.67	6.77	9.42	9.01	7.93	9.11	10	5.16	9.45	LGG	Primary Tumor
TCGA-KL-8343-01	TCGA-KL-8343-01	12.46	2.38	9.91	2.56	0	2.06	2.06	0	0.77	9.03	3.44	1.46	KICH	Primary Tumor
TCGA-AX-A06J-01	TCGA-AX-A06J-01	12.46	1.36	9.64	5.72	-0.32	3.34			2.55	12.28	2.84	-0.5	UCEC	Primary Tumor
TCGA-4X-A9FA-01	TCGA-4X-A9FA-01	12.46	1.19	10.81	5.03	3.6	3.74	0.51	0	0.51	9.28	5.12	2.4	THYM	Primary Tumor
TCGA-BR-6564-01	TCGA-BR-6564-01	12.45	1.78	9.38	2.2	3.45	5.96	1.92	1.26	3.22	9.69	4.38	0.89	STAD	Primary Tumor
TCGA-EK-A2RC-01	TCGA-EK-A2RC-01	12.44	3.54	7.71	3.79	0.46	4.54	0	0	2.26	11.54	1.33	1.09	CESC	Primary Tumor
TCGA-XT-AASU-01	TCGA-XT-AASU-01	12.44	2.8	8.3	3.17	5.68	4.24	2.2	1.14	7.1	10.99	4.01	2.63	MESO	Primary Tumor
TCGA-XM-A8RG-01	TCGA-XM-A8RG-01	12.43	4.55	9.75	4.47	1.16	3.22	1.16	0.94	0.39	10.24	1.16	1.34	THYM	Primary Tumor
TCGA-DU-5871-01	TCGA-DU-5871-01	12.43	3.92	9.32	4.59	3.92	9.46	10.33	8.27	9.66	9.69	3.88	5.13	LGG	Primary Tumor
TCGA-D1-A17Q-01	TCGA-D1-A17Q-01	12.43	2.78	9.36	4.65	-0.32	3.9			8.09	11.11	5.67	-0.5	UCEC	Primary Tumor
TCGA-22-5478-01	TCGA-22-5478-01	12.42	4.56	8.9	2.31	7.77	4.39	1.04	1.63	3.15	9.75	5.35	0	LUSC	Primary Tumor
TCGA-FI-A2D5-01	TCGA-FI-A2D5-01	12.42	1.88	6.35	2.11	6.57	4.38			3.56	13.01	4.74	0.4	UCEC	Primary Tumor
TCGA-BR-A4J9-01	TCGA-BR-A4J9-01	12.42	1.45	9.74	2.06	3.71	5.62	1.34	1.38	2.3	8.38	4.07	0.76	STAD	Primary Tumor
TCGA-BR-8365-01	TCGA-BR-8365-01	12.41	2.93	10.17	1.75	4.16	4.57	1.84	2.84	6.57	9.29	6.31	2.23	STAD	Primary Tumor
TCGA-QF-A5YT-01	TCGA-QF-A5YT-01	12.41	0	7.61	3.34	4.5	6	0	0	1.29	11.07	4.12	2.41	UCEC	Primary Tumor
TCGA-HT-7477-01	TCGA-HT-7477-01	12.4	3.09	9.97	3.93	6.29	7.53	11	8.09	7.91	10.13	4.04	4.92	LGG	Primary Tumor
TCGA-5P-A9KH-01	TCGA-5P-A9KH-01	12.4	2.23	11.87	2.44	8.46	0.8	1.69	0	3.84	8.31	3	9.26	KIRP	Primary Tumor
TCGA-X9-A973-01	TCGA-X9-A973-01	12.4	2.04	11.33	4.57	5.67	5.36	3.17	0.53	3.49	11.37	4.23	0	SARC	Primary Tumor
TCGA-KL-8326-01	TCGA-KL-8326-01	12.4	0.58	8.61	1.8	0.58	0.99	4.82	0	0.58	8.35	0.58	1.31	KICH	Primary Tumor
TCGA-06-0152-02	TCGA-06-0152-02	12.39	2.64	7.04	2.74	6.39	7.93	8.07	3.47	8.43	10.88	6.08	5.35	GBM	Recurrent Tumor
TCGA-WB-A80K-01	TCGA-WB-A80K-01	12.39	0.51	11.58	1.17	9.12	5	7.24	6.52	8.76	13.78	9.32	10.66	PCPG	Primary Tumor
TCGA-X7-A8M0-01	TCGA-X7-A8M0-01	12.38	3.24	8.21	4.98	3.83	4.89	0.84	0.34	3.02	9.66	0.84	4.21	THYM	Primary Tumor
TCGA-ZL-A9V6-01	TCGA-ZL-A9V6-01	12.38	2.31	10.41	4.46	5.8	4.27	0	1.13	0	10.33	7.36	6.19	THYM	Primary Tumor
TCGA-91-6840-01	TCGA-91-6840-01	12.38	2.02	8	4.03	0.82	6.46	3.96	1.34	2.48	9.74	5.37	0.82	LUAD	Primary Tumor
TCGA-KO-8417-01	TCGA-KO-8417-01	12.38	1.94	11.1	1.94	5.39	1.04	4.61	0	2.81	8.77	2.57	8.44	KICH	Primary Tumor
TCGA-S9-A6WE-01	TCGA-S9-A6WE-01	12.37	1.48	10.53	2.95	5.87	10.4	11.49	7.56	9.68	8.28	4.28	5.17	LGG	Primary Tumor
TCGA-CS-6666-01	TCGA-CS-6666-01	12.36	4.8	9.67	5.58	4.8	8.78	10.44	7.26	8.27	11.03	3.56	2.11	LGG	Primary Tumor
TCGA-X6-A7WD-01	TCGA-X6-A7WD-01	12.36	4.8	8.57	0	8.75	5.87	1.27	0.56	6.12	10.95	6.98	0	SARC	Primary Tumor
TCGA-A5-A3LP-01	TCGA-A5-A3LP-01	12.36	2.64	8.04	3.73	0.91	4.37	3.82	0.52	6.88	10.05	3.35	6.06	UCEC	Primary Tumor
TCGA-TQ-A7RO-01	TCGA-TQ-A7RO-01	12.35	4.82	8.75	3.45	6.46	10.06	9.9	9.01	9.39	10.04	4.15	6.99	LGG	Primary Tumor
TCGA-BA-4078-01	TCGA-BA-4078-01	12.35	3.4	9.13	5.05	0.33	4.75	1.35	2.29	3.21	10.58	2.9	1.84	HNSC	Primary Tumor
TCGA-S9-A6TV-01	TCGA-S9-A6TV-01	12.35	2.86	8.45	3.31	8.28	8.83	7.97	4.78	8.3	11.33	3.99	3.58	LGG	Primary Tumor
TCGA-S9-A89Z-01	TCGA-S9-A89Z-01	12.34	4.19	8.56	4.98	5.4	8.92	9.53	5.8	7.24	10.16	3.59	4.64	LGG	Primary Tumor
TCGA-LN-A4A5-01	TCGA-LN-A4A5-01	12.34	1.42	10.49	4.38	3.78	5.64	3.48	-0.02	2.26	10.48	3.79	1.33	ESCA	Primary Tumor
TCGA-KL-8332-01	TCGA-KL-8332-01	12.33	3.71	11.75	2.52	0.61	5.26	0.61	0.61	3.92	9.51	3.46	11.08	KICH	Primary Tumor
TCGA-XM-AAZ2-01	TCGA-XM-AAZ2-01	12.33	2.73	11.72	4.93	3.69	3.58	1.36	0.39	0.96	11.21	5.96	5.61	THYM	Primary Tumor
TCGA-KL-8331-01	TCGA-KL-8331-01	12.33	1.79	10.08	5.01	5.85	2.57	0	0	4.75	9.49	2.1	8.44	KICH	Primary Tumor
TCGA-HU-A4GP-11	TCGA-HU-A4GP-11	12.33	1.47	10.09	2.73	7.5	4.06	3.3	0.44	3.35	8.75	4.85	4.45	STAD	Solid Tissue Normal
TCGA-CN-A63U-01	TCGA-CN-A63U-01	12.33	0.91	9.56	1.46	1.21	2.83	0.52	0	1.67	6.91	0	0.52	HNSC	Primary Tumor
TCGA-HU-A4GC-11	TCGA-HU-A4GC-11	12.33	0.8	9.86	3.29	5.7	3.36	2.56	-0.02	1.64	8.33	1.79	3.33	STAD	Solid Tissue Normal
TCGA-HT-8563-01	TCGA-HT-8563-01	12.3	3.08	4.72	3.08	7.63	7.05	7.21	4.44	5.72	11.46	3.44	3.14	LGG	Primary Tumor
TCGA-DX-A23Z-01	TCGA-DX-A23Z-01	12.3	3.03	11.63	4.53	8.95	7.93	1.48	0.68	3.4	11.63	6.67	0.68	SARC	Primary Tumor
TCGA-06-0211-01	TCGA-06-0211-01	12.3	2.79	5.17	3.46	7.07	6.56	8.75	6.28	4.39	11.12	3.27	0.93	GBM	Primary Tumor
TCGA-BK-A4ZD-01	TCGA-BK-A4ZD-01	12.29	4.34	7.85	3.91	0.77	2.47	0	0	0.77	10.12	2.06	1.04	UCEC	Primary Tumor
TCGA-19-2625-01	TCGA-19-2625-01	12.29	3.56	4.94	4.43	9.41	6.69	6.42	2.03	6.45	8.83	2.73	4.28	GBM	Primary Tumor
TCGA-14-0787-01	TCGA-14-0787-01	12.29	2.77	6.02	1.67	7.62	8.39	8.62	1.96	7.11	9.53	1.67	2.42	GBM	Primary Tumor
TCGA-VM-A8C9-01	TCGA-VM-A8C9-01	12.29	0	9.14	3.85	8.17	8.93	9.2	1.83	6.31	10.04	3.4	1.18	LGG	Primary Tumor
TCGA-AK-3443-01	TCGA-AK-3443-01	12.29	0	8.69	2.86	0.41	0.99	3.21	0	1.4	7.39	0.73	1.21	KIRC	Primary Tumor
TCGA-HT-7680-01	TCGA-HT-7680-01	12.28	3.8	7.39	4.66	9.18	7.31	7.5	5.1	4.78	10.8	6.02	3.39	LGG	Primary Tumor
TCGA-KT-A7W1-01	TCGA-KT-A7W1-01	12.28	3.44	3.76	3.57	5.95	8.8	9.55	6.12	5.32	9.87	5.76	4.92	LGG	Primary Tumor
TCGA-VS-A9UL-01	TCGA-VS-A9UL-01	12.27	4.69	6.73	3.36	1.78	2.87	0.57	1.78	2.67	11.45	3.05	7.41	CESC	Primary Tumor
TCGA-KN-8429-01	TCGA-KN-8429-01	12.27	1.84	10.35	3.41	5.14	3.07	5.08	0	5.87	9.22	4.28	9.75	KICH	Primary Tumor
TCGA-66-2792-01	TCGA-66-2792-01	12.27	1.21	7.94	1.21	1.4	4.2	1.21	2.1	1.4	8.96	3.57	0	LUSC	Primary Tumor
TCGA-P5-A5EX-01	TCGA-P5-A5EX-01	12.25	3.4	6.71	2.75	6.77	7.54	7.67	1.76	5.16	12.67	2.53	3.84	LGG	Primary Tumor
TCGA-XM-A8RF-01	TCGA-XM-A8RF-01	12.24	1.53	11.58	5.05	2.37	4.26	0	1.33	2.01	10.26	1.09	3.87	THYM	Primary Tumor
TCGA-KO-8415-01	TCGA-KO-8415-01	12.24	0	10.01	3.9	5.41	2.9	2.9	1.05	6.55	9.2	2.08	8.73	KICH	Primary Tumor
TCGA-BR-7704-11	TCGA-BR-7704-11	12.23	1.64	10.43	2.95	5.02	5.26	2.34	3.61	3.11	9.09	6.34	4.97	STAD	Solid Tissue Normal
TCGA-LN-A4A8-01	TCGA-LN-A4A8-01	12.22	4.87	7.93	1.61	-0.02	5.44	2.46	0.97	0.32	11.19	4.55	0.41	ESCA	Primary Tumor
TCGA-KN-8435-01	TCGA-KN-8435-01	12.21	4.79	10.92	4.35	2.79	2.46	0	0	6.04	10.01	2.46	9.72	KICH	Primary Tumor
TCGA-K1-A3PO-01	TCGA-K1-A3PO-01	12.21	3.4	9.69	2.83	9.23	7.05	3.21	0	5.37	10.56	5.69	0	SARC	Primary Tumor
TCGA-KL-8339-01	TCGA-KL-8339-01	12.21	2.08	9.81	2.41	2.9	6.61	8.43	1.05	2.41	8.77	1.48	5.82	KICH	Primary Tumor
TCGA-KT-A74X-01	TCGA-KT-A74X-01	12.2	3.13	10.49	3.03	5.53	10.02	10.75	7.4	9.81	9.5	4.19	5.37	LGG	Primary Tumor
TCGA-B8-4619-01	TCGA-B8-4619-01	12.2	0.54	11.36	3.92	1.25	2.59	4.13	0	2.48	9.47	4.13	0	KIRC	Primary Tumor
TCGA-TQ-A7RM-01	TCGA-TQ-A7RM-01	12.19	5.15	8.06	3.15	7.11	10.23	11.03	8.4	8.23	9.14	2.11	4.19	LGG	Primary Tumor
TCGA-HT-7691-01	TCGA-HT-7691-01	12.19	0.43	9.72	4.4	9.18	8.03	9.72	5.95	7.23	9.89	6.66	8.46	LGG	Primary Tumor
TCGA-P5-A5EU-01	TCGA-P5-A5EU-01	12.18	4.14	6.82	2	6.44	7.25	9.65	6.28	7.66	10.81	2.56	3.53	LGG	Primary Tumor
TCGA-DX-AB3C-01	TCGA-DX-AB3C-01	12.18	2.74	7.27	5.84	10.44	10.17	0	3.07	7.22	11.98	2.61	5.66	SARC	Primary Tumor
TCGA-TQ-A7RU-01	TCGA-TQ-A7RU-01	12.16	2.26	11.68	2.7	3.73	10.28	11.79	5.24	9.55	10.11	2.6	3.3	LGG	Primary Tumor
TCGA-KO-8411-01	TCGA-KO-8411-01	12.16	0	10.36	2.82	9.07	0.81	2.89	0	1.86	9.42	2.74	6.78	KICH	Primary Tumor
TCGA-3B-A9HY-01	TCGA-3B-A9HY-01	12.14	5.66	7.5	0	9.29	3.98	4.67	6.01	4.79	9.4	2.17	3.72	SARC	Primary Tumor
TCGA-DH-A66G-01	TCGA-DH-A66G-01	12.14	3.4	9.82	3.72	7.58	9.27	9.61	7.24	10.33	9.83	4.89	8.59	LGG	Primary Tumor
TCGA-VM-A8CD-01	TCGA-VM-A8CD-01	12.14	3.31	5.84	3.81	8.11	7.83	8.62	5.69	7.69	9.64	7.33	7.87	LGG	Primary Tumor
TCGA-CR-7399-01	TCGA-CR-7399-01	12.14	0.91	9.07	1.86	0.91	3.66	2.07	0.37	2.35	11.21	4.5	0	HNSC	Primary Tumor
TCGA-CV-5435-01	TCGA-CV-5435-01	12.13	1.91	6.66	3.64	0	3.47	1.25	0.94	2.48	11.22	3.28	0	HNSC	Primary Tumor
TCGA-BQ-7055-01	TCGA-BQ-7055-01	12.13	1.44	11.6	1.44	2.87	0.65	1.1	0	4.27	9.78	2.48	0	KIRP	Primary Tumor
TCGA-B5-A11R-01	TCGA-B5-A11R-01	12.13	1.22	8.88	2.31	1.47	3.23	0	1.68	2.44	9.95	1.87	1.22	UCEC	Primary Tumor
TCGA-XU-A92O-01	TCGA-XU-A92O-01	12.13	0.58	8.85	5	0.58	4.33	0	0	0	8.11	1.79	1.98	THYM	Primary Tumor
TCGA-A8-A09Z-01	TCGA-A8-A09Z-01	12.13	0.44	12.47	4.32	0	3.41	0	0	1.48	10.26	8.83	0.44	BRCA	Primary Tumor
TCGA-DX-A1KY-01	TCGA-DX-A1KY-01	12.12	4.66	10.19	1.88	9	7.74	1.48	8.87	3.85	10.32	7.63	6.25	SARC	Primary Tumor
TCGA-06-5414-01	TCGA-06-5414-01	12.12	3.01	4.89	3.49	4.09	6.55	8.83	3.21	5	10.01	6.76	0.48	GBM	Primary Tumor
